Category,Message
real,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me."
real,Huh so early.. Then ü having dinner outside izzit?
real,Ok anyway no need to change with what you said
spam,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow
real,my ex-wife was not able to have kids. Do you want kids one day?
real,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream
real,Tell them u have a headache and just want to use 1 hour of sick time.
real,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den..."
real,Pete can you please ring meive hardly gotany credit
real,Ya srsly better than yi tho
real,"I'm in a meeting, call me later at"
spam,"For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo
spam,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04
real,You still at grand prix?
real,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz..."
real,I am great! How are you?
real,Gud mrng dear have a nice day
spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
real,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too
real,I'm going out to buy mum's present ar.
real,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D
real,If u sending her home first it's ok lor. I'm not ready yet.
real,Speaking of does he have any cash yet?
real,Be happy there. I will come after noon
real,Meet after lunch la...
real,TaKe CaRE n gET WeLL sOOn
spam,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867
real,what I meant to say is cant wait to see u again getting bored of this bridgwater banter
real,Neva mind it's ok..
real,"It's fine, imma get a drink or somethin. Want me to come find you?"
spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222
real,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me
real,I have many dependents
real,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C
real,I called and said all to him:)then he have to choose this future.
real,Happy valentines day I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...
real,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.
real,For my family happiness..
real,I come n pick ü up... Come out immediately aft ur lesson...
real,Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.
real,Dear we got  &lt;#&gt;  dollars hi hi
real,Good words.... But words may leave u in dismay many times.
real,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED
real,"sorry, no, have got few things to do. may be in pub later."
real,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash"
real,"Haha good to hear, I'm officially paid and on the market for an 8th"
real,How many licks does it take to get to the center of a tootsie pop?
real,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.
spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693
spam,Todays Vodafone numbers ending with 4882 are selected to a receive a £350 award. If your number matches call 09064019014 to receive your £350 award.
real,Please dont say like that. Hi hi hi
real,Thank u!
real,Oh that was a forwarded message. I thought you send that to me
real,Got it. Seventeen pounds for seven hundred ml – hope ok.
spam,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062."
real,Me n him so funny...
real,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola"
real,When ü login dat time... Dad fetching ü home now?
real,"What will we do in the shower, baby?"
real,I had askd u a question some hours before. Its answer
real,"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out"
real,"said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day!"
real,Probably gonna swing by in a wee bit
real,Ya very nice. . .be ready on thursday
real,Allo! We have braved the buses and taken on the trains and triumphed. I mean we‘re in b‘real. Have a jolly good rest of week
real,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
real,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04
real,No prob. I will send to your email.
spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm"
real,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :)
real,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?
real,"Wait, do you know if wesleys in town? I bet she does hella drugs!"
real,Fine i miss you very much.
real,Did u got that persons story
real,Tell them the drug dealer's getting impatient
real,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng"
real,You will be in the place of that man
real,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com"
spam,88800 and 89034 are premium phone services call 08718711108
real,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '"
real,Then mum's repent how?
real,Sorry me going home first... Daddy come fetch ü later...
real,Leave it de:-). Start Prepare for next:-)..
real,Yes baby! We can study all the positions of the kama sutra ;)
real,En chikku nange bakra msg kalstiya..then had tea/coffee?
real,Carlos'll be here in a minute if you still need to buy
real,This pay is  &lt;DECIMAL&gt;  lakhs:)
real,Have a good evening! Ttyl
real,Did u receive my msg?
real,Ho ho - big belly laugh! See ya tomo
spam,"SMS. ac sun0819 posts HELLO:""You seem cool, wanted to say hi. HI!!!"" Stop? Send STOP to 62468"
spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just £1.50 per wk 2 opt out send STOP 08452810071 16
real,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace."
real,"I've got  &lt;#&gt; , any way I could pick up?"
real,"I dont knw pa, i just drink milk.."
real,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons?
real,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now..."
real,Cause I'm not freaky lol
real,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.
real,What is this 'hex' place you talk of? Explain!
real,Ü log off 4 wat. It's sdryb8i
real,Is xy going 4 e lunch?
spam,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+
real,I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.
real,Have you finished work yet? :)
real,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8"
real,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday."
real,Thanks love. But am i doing torch or bold.
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.
real,Was the farm open?
real,"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx."
real,"My sister in law, hope you are having a great month. Just saying hey. Abiola"
real,Will purchase d stuff today and mail to you. Do you have a po box number?
real,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem
real,Good. Good job. I like entrepreneurs
real,"Aight, you close by or still down around alex's place?"
real,meet you in corporation st outside gap … you can see how my mind is working!
real,Mum ask ü to buy food home...
real,K..u also dont msg or reply to his msg..
real,How much r ü willing to pay?
real,"Sorry, I'll call later"
real,What is important is that you prevent dehydration by giving her enough fluids
real,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!"
real,True dear..i sat to pray evening and felt so.so i sms'd you in some time...
real,"I don't think I can get away for a trek that long with family in town, sorry"
real,So when do you wanna gym harri
real,Quite late lar... Ard 12 anyway i wun b drivin...
spam,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT"
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs
real,"Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students,this wont even start........ Datz confidence.."
real,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke
spam,08714712388 between 10am-7pm Cost 10p
real,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you."
real,He also knows about lunch menu only da. . I know
real,When i have stuff to sell i.ll tell you
spam,#ERROR!
real,Book which lesson? then you msg me... I will call up after work or sth... I'm going to get specs. My membership is PX3748
spam,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm
real,Macha dont feel upset.i can assume your mindset.believe me one evening with me and i have some wonderful plans for both of us.LET LIFE BEGIN AGAIN.call me anytime
real,Oh is it? Send me the address
real,S'fine. Anytime. All the best with it.
real,That is wondar full flim.
real,Ya even those cookies have jelly on them
real,"The world is running and i am still.maybe all are feeling the same,so be it.or i have to admit,i am mad.then where is the correction?or let me call this is life.and keep running with the world,may be u r also running.lets run."
real,Got it! It looks scrumptious... daddy wants to eat you all night long!
real,Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...
real,"Alright omw, gotta change my order to a half8th"
real,Exactly. Anyways how far. Is jide her to study or just visiting
real,Dunno y u ask me.
spam,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123
real,No he didn't. Spring is coming early yay!
real,Lol you won't feel bad when I use her money to take you out to a steak dinner =D
real,Even u dont get in trouble while convincing..just tel him once or twice and just tel neglect his msgs dont c and read it..just dont reply
real,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh
real,Then why no one talking to me
real,Thanks for looking out for me. I really appreciate.
spam,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
real,Wish i were with you now!
real,Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.
real,Yes i will be there. Glad you made it.
real,Do well :)all will for little time. Thing of good times ahead:
real,Just got up. have to be out of the room very soon. …. i hadn't put the clocks back til at 8 i shouted at everyone to get up and then realised it was 7. wahay. another hour in bed.
real,Ok. There may be a free gym about.
real,Men like shorter ladies. Gaze up into his eyes.
real,Dunno he jus say go lido. Same time 930.
real,"I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!"
spam,U are subscribed to the best Mobile Content Service in the UK for £3 per 10 days until you send STOP to 82324. Helpline 08706091795
real,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam
real,By monday next week. Give me the full gist
spam,"Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?"
spam,You have an important customer service announcement from PREMIER.
real,Dont gimme that lip caveboy
real,When did you get to the library
real,Realy sorry-i don't recognise this number and am now confused :) who r u please?!
real,So why didnt you holla?
real,Cant think of anyone with * spare room off * top of my head
real,"Faith makes things possible,Hope makes things work,Love makes things beautiful,May you have all three this Christmas!Merry Christmas!"
real,U should have made an appointment
real,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts"
spam,"Romantic Paris. 2 nights, 2 flights from £79 Book now 4 next year. Call 08704439680Ts&Cs apply."
real,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat."
spam,Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF
real,Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...
real,"Wishing you and your family Merry ""X"" mas and HAPPY NEW Year in advance.."
spam,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub
real,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time..."
real,"Sorry, I'll call later"
real,I cant pick the phone right now. Pls send a message
real,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.
real,Not getting anywhere with this damn job hunting over here!
real,Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan?
real,"idc get over here, you are not weaseling your way out of this shit twice in a row"
real,I wil be there with in  &lt;#&gt;  minutes. Got any space
real,Just sleeping..and surfing
real,Thanks for picking up the trash.
real,Why don't you go tell your friend you're not sure you want to live with him because he smokes too much then spend hours begging him to come smoke
real,Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx
real,Happy New year my dear brother. I really do miss you. Just got your number and decided to send you this text wishing you only happiness. Abiola
real,That means get the door
real,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
real,"Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?"
real,Beerage?
spam,You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!
real,Dont think so. It turns off like randomlly within 5min of opening
real,"She was supposed to be but couldn't make it, she's still in town though"
real,It does it on its own. Most of the time it fixes my spelling. But sometimes it gets a completely diff word. Go figure
spam,Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS)
spam,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, £3 per pole. UnSub 08718727870."
real,Gud mrng dear hav a nice day
real,This is hoping you enjoyed your game yesterday. Sorry i've not been in touch but pls know that you are fondly bein thot off. Have a great week. Abiola
real,All e best 4 ur driving tmr :-)
real,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATS AL!!!!!!!!!
real,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!
real,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?
real,it's really getting me down just hanging around.
spam,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa"
real,Petey boy whereare you me and all your friendsare in theKingshead come down if you canlove Nic
real,Ok i msg u b4 i leave my house.
real,Gimme a few was  &lt;#&gt;  minutes ago
spam,"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16"
real,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice
spam,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone
spam,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX
real,K I'll be there before 4.
real,I dled 3d its very imp
real,"sure, but make sure he knows we ain't smokin yet"
real,Boooo you always work. Just quit.
real,I am taking half day leave bec i am not well
real,Ugh I don't wanna get out of bed. It's so warm.
real,S:)s.nervous  &lt;#&gt; :)
real,So there's a ring that comes with the guys costumes. It's there so they can gift their future yowifes. Hint hint
spam,Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
real,I borrow ur bag ok.
spam,"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT"
real,Where's my boytoy? I miss you ... What happened?
real,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up"
real,Also are you bringing galileo or dobby
real,Then why you not responding
real,BOO BABE! U ENJOYIN YOURJOB? U SEEMED 2 B GETTIN ON WELL HUNNY!HOPE URE OK?TAKE CARE & ILLSPEAK 2U SOONLOTS OF LOVEME XXXX.
real,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*
real,On the road so cant txt
spam,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
spam,25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.
real,Have a good evening! Ttyl
real,Hmm .. Bits and pieces lol ... *sighs* ...
real,Hahaha..use your brain dear
real,Hey. You got any mail?
real,"Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around"
real,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901
real,Hi mate its RV did u hav a nice hol just a message 3 say hello coz havent sent u 1 in ages started driving so stay off roads!RVx
spam,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062"
real,"Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago"
real,Surely result will offer:)
real,Good Morning my Dear........... Have a great &amp; successful day.
spam,Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow
real,"Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks"
spam,We tried to contact you re our offer of New Video Phone 750 anytime any network mins HALF PRICE Rental camcorder call 08000930705 or reply for delivery Wed
spam,Last chance 2 claim ur £150 worth of discount vouchers-Text YES to 85023 now!SavaMob-member offers mobile T Cs 08717898035. £3.00 Sub. 16 . Remove txt X or STOP
real,I luv u soo much u dont understand how special u r 2 me ring u 2morrow luv u xxx
real,"Pls send me a comprehensive mail about who i'm paying, when and how much."
real,Our Prashanthettan's mother passed away last night. pray for her and family.
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
real,K.k:)when are you going?
real,Meanwhile in the shit suite: xavier decided to give us  &lt;#&gt;  seconds of warning that samantha was coming over and is playing jay's guitar to impress her or some shit. Also I don't think doug realizes I don't live here anymore
real,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.
real,I am in office:)whats the matter..msg me now.i will call you at break:).
real,"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later"
spam,"Today's Offer! Claim ur £150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. £3.00 Sub. 16 . Unsub reply X"
real,U reach orchard already? U wan 2 go buy tickets first?
real,"I am real, baby! I want to bring out your inner tigress..."
real,No da if you run that it activate the full version da.
real,AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.
real,Stop the story. I've told him i've returned it and he's saying i should not re order it.
spam,Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.
real,Going to take your babe out ?
real,Hai ana tomarrow am coming on morning.  &lt;DECIMAL&gt;  ill be there in sathy then we ll go to RTO office. Reply me after came to home.
real,Spoons it is then okay?
real,Did he just say somebody is named tampa
real,In work now. Going have in few min.
real,Your brother is a genius
real,"Sorry, I guess whenever I can get a hold of my connections, maybe an hour or two? I'll text you"
real,Did u find out what time the bus is at coz i need to sort some stuff out.
real,Dude ive been seeing a lotta corvettes lately
spam,Congratulations ur awarded either a yrs supply of CDs from Virgin Records or a Mystery Gift GUARANTEED Call 09061104283 Ts&Cs www.smsco.net £1.50pm approx 3mins
real,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter"
spam,PRIVATE! Your 2003 Account Statement for 07808 XXXXXX shows 800 un-redeemed S. I. M. points. Call 08719899217 Identifier Code: 41685 Expires 07/11/04
spam,Hello. We need some posh birds and chaps to user trial prods for crealpneys. Can i put you down? I need your address and dob asap. Ta r
spam,What do U want for Xmas? How about 100 free text messages & a new video phone with half price line rental? Call free now on 0800 0721072 to find out more!
real,"Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!"
real,Its going good...no problem..but still need little experience to understand american customer voice...
real,I'll text you when I drop x off
real,Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap
real,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;
spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
real,Are you in castor? You need to see something
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094565
spam,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08
spam,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.
real,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training."
real,I love to give massages. I use lots of baby oil... What is your fave position?
real,Dude we should go sup again
real,Yoyyooo u know how to change permissions for a drive in mac. My usb flash drive
real,Gibbs unsold.mike hussey
real,I like to talk pa but am not able to. I dont know y.
real,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.
real,You unbelievable faglord
real,Wife.how she knew the time of murder exactly
real,Why do you ask princess?
real,I am great princess! What are you thinking about me? :)
real,Nutter. Cutter. Ctter. Cttergg. Cttargg. Ctargg. Ctagg. ie you
real,It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.
real,Doesn't g have class early tomorrow and thus shouldn't be trying to smoke at  &lt;#&gt;
real,"Superb Thought- ""Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today."":-)"
real,Hope you are having a good week. Just checking in
real,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment."
real,"Thursday night? Yeah, sure thing, we'll work it out then"
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
real,Probably money worries. Things are coming due and i have several outstanding invoices for work i did two and three months ago.
real,How is it possible to teach you. And where.
real,"I wonder if your phone battery went dead ? I had to tell you, I love you babe"
real,Lovely smell on this bus and it ain't tobacco...
real,"We're all getting worried over here, derek and taylor have already assumed the worst"
real,Hey what's up charles sorry about the late reply.
spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468"
real,I.ll give her once i have it. Plus she said grinule greet you whenever we speak
real,WHITE FUDGE OREOS ARE IN STORES
spam,"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)"
real,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you
real,I am sorry it hurt you.
real,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/
real,Ok lor but not too early. Me still having project meeting now.
real,"Call me da, i am waiting for your call."
real,I could ask carlos if we could get more if anybody else can chip in
real,Was actually about to send you a reminder today. Have a wonderful weekend
real,"When people see my msgs, They think Iam addicted to msging... They are wrong, Bcoz They don\'t know that Iam addicted to my sweet Friends..!! BSLVYL"
real,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck?
real,Dont talk to him ever ok its my word.
real,When u wana see it then
real,On ma way to school. Can you pls send me ashley's number
real,It shall be fine. I have avalarr now. Will hollalater
real,She went to attend another two rounds today..but still did't reach home..
real,Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com
real,"K, wait chikku..il send aftr  &lt;#&gt; mins"
real,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.
real,K:)i will give my kvb acc details:)
real,Oh all have to come ah?
spam,money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over £1million to give away ! ppt150x3+normal text rate box403 w1t1jy
real,I'm really sorry i won't b able 2 do this friday.hope u can find an alternative.hope yr term's going ok:-)
real,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go
real,So do you have samus shoulders yet
real,What time you think you'll have it? Need to know when I should be near campus
spam,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or £1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH."
real,Then dun wear jeans lor...
real,"Since when, which side, any fever, any vomitin."
real,K:)k.are you in college?
spam,"Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+"
real,Better. Made up for Friday and stuffed myself like a pig yesterday. Now I feel bleh. But at least its not writhing pain kind of bleh.
real,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
real,Theyre doing it to lots of places. Only hospitals and medical places are safe.
spam,How about getting in touch with folks waiting for company? Just txt back your NAME and AGE to opt in! Enjoy the community (150p/SMS)
real,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed
real,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones"
real,I cant wait to see you! How were the photos were useful? :)
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1
real,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging
real,Chk in ur belovd ms dict
real,Is that what time you want me to come?
real,"Awesome, lemme know whenever you're around"
real,Shb b ok lor... Thanx...
